Name,Location,Price,Area,Rooms,Interior
House Anton Pieckhof,3544 MG Utrecht (Het Zand-West),"€3,000 per month",152 m²,6 rooms,Upholstered
Flat Gansstraat 153 B,3582 EG Utrecht (Watervogelbuurt),"€1,650 per month",60 m²,2 rooms,Shell
Flat Zandhofsestraat 84 A,3572 GJ Utrecht (Wittevrouwen),"€1,900 per month",74 m²,2 rooms,Shell
Flat Valetonlaan 17,3571 NA Utrecht (Tuindorp-Oost),"€1,595 per month",75 m²,3 rooms,Upholstered
House Hopakker,3514 BV Utrecht (Vogelenbuurt),"€2,450 per month",76 m²,2 rooms,Furnished
Flat Marmerplein,3572 CT Utrecht (Wittevrouwen),"€2,795 per month",88 m²,4 rooms,Furnished
House Schoolstraat,3581 PT Utrecht (Buiten Wittevrouwen),"€3,750 per month",180 m²,6 rooms,Upholstered
Flat Royaards van den Hamkade,3552 CL Utrecht (Ondiep),"€2,250 per month",68 m²,3 rooms,Upholstered
Flat Louis Couperusstraat 12 B,"3532 CZ Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€2,500 per month",81 m²,3 rooms,Upholstered
House Eligenstraat,3512 PT Utrecht (Lange Nieuwstraat en omgeving),"€3,500 per month",150 m²,4 rooms,Upholstered
Flat Potterstraat,"3512 TB Utrecht (Domplein, Neude, Janskerkhof)","€1,466 per month",20 m²,1 room,Furnished
House Amerongseberg,3524 LM Utrecht (Lunetten-Noord),"€2,500 per month",102 m²,3 rooms,
House Oudwijkerlaan,3581 TA Utrecht (Oudwijk),"€4,375 per month",136 m²,4 rooms,Furnished
House Smalle Begijnestraat,3512 TZ Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,610 per month",75 m²,2 rooms,Furnished
House Bekkerstraat,3572 SE Utrecht (Wittevrouwen),"€2,500 per month",98 m²,4 rooms,Upholstered
Flat Twellosebeeklaan,3521 DS Utrecht (Dichterswijk),"€1,230 per month",41 m²,2 rooms,
Flat Twellosebeeklaan,3521 DV Utrecht (Dichterswijk),"€1,745 per month",77 m²,2 rooms,
Flat Twellosebeeklaan,3521 DR Utrecht (Dichterswijk),"€1,230 per month",42 m²,2 rooms,
Studio Damstraat,3531 BP Utrecht (Lombok-Oost),€700 per month,20 m²,1 room,Furnished
Flat Eelderdiephof,3521 DK Utrecht (Dichterswijk),"€1,760 per month",63 m²,2 rooms,
Flat Twellosebeeklaan,3521 DT Utrecht (Dichterswijk),"€1,515 per month",65 m²,2 rooms,
Flat Jan van Scorelstraat,3583 CV Utrecht (Schildersbuurt),€659 per month,45 m²,3 rooms,Upholstered
Flat Wulpstraat 55,3582 AW Utrecht (Watervogelbuurt),"€1,105 per month",27 m²,1 room,Upholstered
Flat Vader Rijndreef,3561 XA Utrecht (Taag- en Rubicondreef en omgeving),€987 per month,54 m²,2 rooms,
Flat Heijermansstraat,"3532 EG Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€2,050 per month",80 m²,4 rooms,Upholstered
Flat Herenweg,3513 CB Utrecht (Pijlsweerd-Zuid),"€2,075 per month",80 m²,3 rooms,Furnished
Flat Vleutenseweg,"3532 HX Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€1,900 per month",66 m²,2 rooms,Furnished
Flat Burgemeester Reigerstraat,3581 KR Utrecht (Buiten Wittevrouwen),"€1,840 per month",55 m²,2 rooms,Upholstered
Flat Jongeneelwerf,3513 DD Utrecht (Pijlsweerd-Zuid),"€2,500 per month",67 m²,3 rooms,Furnished
House Verlengde Hoogravenseweg,3525 BE Utrecht (Oud Hoograven-Zuid),"€2,850 per month",120 m²,4 rooms,Furnished
Studio Ravenoord 151,3523 DB Utrecht (Tolsteeg en Rotsoord),€975 per month,21 m²,1 room,Furnished
Flat Amerikalaan,3526 VZ Utrecht (Kanaleneiland-Zuid),"€1,900 per month",67 m²,2 rooms,Upholstered
Flat Hartingstraat,3511 HV Utrecht (Hooch Boulandt),"€2,500 per month",104 m²,3 rooms,Furnished
House Brigittenstraat,3512 KK Utrecht (Nieuwegracht-Oost),"€2,150 per month",51 m²,3 rooms,Upholstered
Flat Cobradreef,3564 ET Utrecht (Zambesidreef en omgeving),€895 per month,23 m²,1 room,Furnished
Flat Von Kleistlaan,3533 BA Utrecht (Halve Maan-Noord),"€2,300 per month",105 m²,3 rooms,Upholstered
Flat Prinses Ireneplateau,3554 HW Utrecht (Schaakbuurt en omgeving),"€1,895 per month",59 m²,2 rooms,Furnished
Flat Kanaalweg 95 5,3533 HH Utrecht (Oog in Al),"€1,795 per month",39 m²,2 rooms,Upholstered
House Peter Schathof,"3533 HZ Utrecht (Welgelegen, Den Hommel)","€3,900 per month",175 m²,6 rooms,Upholstered
Flat Broeder Alarmstraat,3523 TP Utrecht (Oud Hoograven-Noord),"€1,850 per month",78 m²,3 rooms,
Flat Johannes Camphuysstraat,3531 SG Utrecht (Lombok-West),"€1,650 per month",68 m²,2 rooms,Upholstered
Flat Oudegracht 35 H,3511 AC Utrecht (Breedstraat en Plompetorengracht en omgeving),"€2,200 per month",62 m²,2 rooms,Upholstered
Flat Centrumboulevard,3541 DK Utrecht (Leidsche Rijn-Centrum),"€2,600 per month",100 m²,3 rooms,Furnished
Flat Arthur van Schendelstraat,3511 MZ Utrecht (Hooch Boulandt),"€2,395 per month",80 m²,4 rooms,Upholstered
Flat Twellosebeeklaan,3521 DS Utrecht (Dichterswijk),"€1,775 per month",83 m²,3 rooms,
Flat Achter Clarenburg,"3511 JH Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€2,120 per month",70 m²,2 rooms,Upholstered
Flat Minrebroederstraat,"3512 GS Utrecht (Domplein, Neude, Janskerkhof)","€2,350 per month",49 m²,2 rooms,Furnished
Flat Broeder Alarmstraat,3523 TP Utrecht (Oud Hoograven-Noord),"€2,350 per month",65 m²,3 rooms,
Studio Kanaalstraat,3531 CH Utrecht (Lombok-West),€650 per month,25 m²,2 rooms,Furnished
Flat Brugsteeg,3582 AZ Utrecht (Watervogelbuurt),"€2,250 per month",60 m²,2 rooms,Upholstered or furnished
House Augusto Sandinostraat 148,3573 ZG Utrecht (Voordorp en Voorveldsepolder),"€2,495 per month",135 m²,6 rooms,
Flat Leidseweg,3531 BE Utrecht (Leidseweg en omgeving),"€2,250 per month",68 m²,3 rooms,Upholstered
Flat Taagdreef,3561 VL Utrecht (Taag- en Rubicondreef en omgeving),€987 per month,63 m²,2 rooms,
Flat Veilinghavenkade,3521 AT Utrecht (Dichterswijk),"€2,495 per month",90 m²,3 rooms,Shell
Room Damstraat,3531 BR Utrecht (Lombok-Oost),€475 per month,18 m²,1 room,Upholstered
Flat Battutalaan 679,3526 VT Utrecht (Kanaleneiland-Zuid),"€1,950 per month",71 m²,2 rooms,Furnished
Flat Nieuwegracht,3512 LS Utrecht (Nieuwegracht-Oost),"€2,395 per month",78 m²,2 rooms,Furnished
House Iepstraat,3581 LL Utrecht (Oudwijk),"€2,175 per month",68 m²,3 rooms,Furnished
Flat Voorstraat,3512 AJ Utrecht (Breedstraat en Plompetorengracht en omgeving),"€2,495 per month",92 m²,2 rooms,Upholstered
Flat Taagdreef,3561 VL Utrecht (Taag- en Rubicondreef en omgeving),€987 per month,63 m²,3 rooms,
Flat Twellosebeeklaan,3521 DS Utrecht (Dichterswijk),"€1,775 per month",83 m²,3 rooms,
Flat Vleutenseweg,"3532 HX Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€2,310 per month",105 m²,3 rooms,Furnished
Flat Smakkelaarsveld,3511 EB Utrecht (Hoog-Catharijne NS en Jaarbeurs),"€3,000 per month",82 m²,2 rooms,Furnished
Flat Vleutenseweg,"3532 HH Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)",€860 per month,23 m²,1 room,Furnished
Flat Wenenpromenade 52,3541 DG Utrecht (Leidsche Rijn-Centrum),"€2,350 per month",68 m²,3 rooms,Upholstered
Flat Jan van Foreeststraat,3521 TX Utrecht (Hoog-Catharijne NS en Jaarbeurs),"€1,600 per month",40 m²,2 rooms,Upholstered
Flat Donkerstraat,"3511 KB Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,795 per month",90 m²,2 rooms,Furnished
Flat Willem Barentszstraat,"3572 PJ Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,025 per month",50 m²,2 rooms,Furnished
Room Amsterdamsestraatweg,3513 AK Utrecht (Pijlsweerd-Zuid),€950 per month,30 m²,1 room,Upholstered
House Merwedestraat,3522 XN Utrecht (Rivierenwijk),"€1,950 per month",64 m²,4 rooms,Upholstered
Studio Burgemeester Reigerstraat,3581 KV Utrecht (Oudwijk),€950 per month,30 m²,2 rooms,Furnished
Flat Van Vollenhovenlaan,3527 JD Utrecht (Transwijk-Noord),"€1,830 per month",100 m²,4 rooms,Upholstered
Flat Maliebaan 71 2,3581 CG Utrecht (Buiten Wittevrouwen),"€2,145 per month",65 m²,2 rooms,Upholstered
Flat Potterstraat,"3512 TB Utrecht (Domplein, Neude, Janskerkhof)","€1,356 per month",23 m²,1 room,Furnished
Flat Oudenoord,3513 EX Utrecht (Pijlsweerd-Noord),"€1,895 per month",52 m²,2 rooms,Furnished
House Schelpstraat,3581 VR Utrecht (Oudwijk),"€1,995 per month",71 m²,3 rooms,Furnished
House Hoogravenseweg,3523 TJ Utrecht (Oud Hoograven-Noord),"€2,500 per month",98 m²,4 rooms,Upholstered
Flat Korte Nieuwstraat,"3512 NM Utrecht (Domplein, Neude, Janskerkhof)","€2,300 per month",94 m²,4 rooms,Furnished
Flat Wageningseberg,3524 LW Utrecht (Lunetten-Noord),"€2,195 per month",71 m²,3 rooms,Furnished
Flat Moskeeplein,3531 BX Utrecht (Lombok-Oost),"€2,475 per month",85 m²,3 rooms,Upholstered
House Lippizanerstraat,3573 SP Utrecht (Voordorp en Voorveldsepolder),"€4,250 per month",198 m²,5 rooms,Furnished
Flat Jansveld 25 C,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,500 per month",48 m²,2 rooms,Upholstered
Flat Jansveld 25 H,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€3,150 per month",75 m²,3 rooms,Upholstered
Flat Jansveld 25 D,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,300 per month",37 m²,2 rooms,Furnished
Flat Jansveld 25 B,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,500 per month",47 m²,2 rooms,Upholstered
Flat Jansveld 27,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)",Price on request,132 m²,3 rooms,Upholstered
Flat Jansveld 25 G,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,350 per month",40 m²,2 rooms,Upholstered
Flat Jansveld 27 7,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)",Price on request,131 m²,5 rooms,Upholstered
Flat Jansveld 25 F,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,350 per month",41 m²,2 rooms,Upholstered
Flat Jansveld 25 J,"3512 BE Utrecht (Domplein, Neude, Janskerkhof)","€2,500 per month",44 m²,2 rooms,Upholstered
Flat Jansveld 23,"3512 BD Utrecht (Domplein, Neude, Janskerkhof)","€2,850 per month",64 m²,2 rooms,Furnished
Flat Mgr. van de Weteringstraat,3581 EA Utrecht (Buiten Wittevrouwen),"€2,800 per month",94 m²,3 rooms,
Flat Hermannus Elconiusstraat 4 BS,3553 VD Utrecht (Julianapark en omgeving),"€2,795 per month",88 m²,3 rooms,Upholstered
House Schimmelpennincklaan 44,3571 BJ Utrecht (Tuindorp en Van Lieflandlaan-West),"€3,450 per month",132 m²,6 rooms,Furnished
Flat Plompetorengracht,3512 CC Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,995 per month",90 m²,3 rooms,Furnished
Flat Johannes de Bekastraat,3514 VL Utrecht (Tuinwijk-Oost),"€2,250 per month",83 m²,3 rooms,Furnished
Flat Eschersingel 62,3544 ML Utrecht (Het Zand-West),"€2,495 per month",78 m²,3 rooms,Furnished
Flat Heemstedelaan,3523 KE Utrecht (Nieuw Hoograven-Noord),"€1,950 per month",72 m²,3 rooms,Upholstered
Flat Marnixlaan,3552 HK Utrecht (Geuzenwijk),"€2,235 per month",63 m²,2 rooms,Furnished
House Klaverstraat,3572 VC Utrecht (Wittevrouwen),"€2,640 per month",88 m²,5 rooms,Upholstered
Flat Bernadottelaan,3527 GB Utrecht (Kanaleneiland-Noord),"€2,095 per month",122 m²,4 rooms,Shell
Flat Flamingostraat,3582 SW Utrecht (Watervogelbuurt),"€2,300 per month",85 m²,3 rooms,Furnished
House F. Koolhovenstraat,3555 VG Utrecht (Prins Bernhardplein en omgeving),"€2,400 per month",87 m²,4 rooms,Furnished
House Van Lynden van Sandenburglaan,3571 BA Utrecht (Tuindorp en Van Lieflandlaan-West),"€2,500 per month",110 m²,6 rooms,
Flat Hartingstraat,3511 HV Utrecht (Hooch Boulandt),"€2,300 per month",79 m²,3 rooms,
Flat Aquamarijnlaan,3523 EL Utrecht (Oud Hoograven-Noord),"€2,195 per month",73 m²,3 rooms,Upholstered
Flat Europaplein 718,3526 WP Utrecht (Transwijk-Zuid),€860 per month,29 m²,1 room,Shell
Flat Willem Frederik Hermansstraat 390,3544 KP Utrecht (Het Zand-Oost),"€2,450 per month",102 m²,4 rooms,Furnished
Flat Hysophof,3544 BV Utrecht (Parkwijk-Zuid),"€2,200 per month",85 m²,2 rooms,Furnished
Flat Pretoriadreef,3564 BX Utrecht (Zambesidreef en omgeving),"€2,650 per month",108 m²,3 rooms,
Flat Bernadottelaan,3527 GB Utrecht (Kanaleneiland-Noord),"€1,895 per month",104 m²,3 rooms,Shell
Flat Hoola van Nootenstraat 293,3521 HB Utrecht (Hoog-Catharijne NS en Jaarbeurs),"€2,995 per month",70 m²,4 rooms,
House Bataviastraat 88,"3531 XH Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€2,650 per month",70 m²,3 rooms,Upholstered or furnished
Flat Marnixlaan,3552 HM Utrecht (Geuzenwijk),"€2,150 per month",72 m²,3 rooms,Upholstered
Flat Jansdam 7,"3512 HA Utrecht (Domplein, Neude, Janskerkhof)","€2,250 per month",82 m²,3 rooms,Shell
Flat Vrouwe Justitiaplein,3511 EX Utrecht (Hooch Boulandt),"€2,995 per month",120 m²,3 rooms,Furnished
Flat Londenstraat,3541 CB Utrecht (Leidsche Rijn-Centrum),"€2,150 per month",67 m²,2 rooms,
House Markstraat,"3582 KL Utrecht (Abstede, Tolsteegsingel e.o.)","€2,295 per month",65 m²,3 rooms,Furnished
House Bentheimerstraat 3,3573 SX Utrecht (Voordorp en Voorveldsepolder),"€2,450 per month",90 m²,4 rooms,
House Abel Tasmanstraat,3531 GV Utrecht (Lombok-West),"€2,594 per month",137 m²,5 rooms,Upholstered
Flat Bernadottelaan,3527 GB Utrecht (Kanaleneiland-Noord),"€2,095 per month",122 m²,4 rooms,Shell
Flat Van Heuven Goedhartplein,3527 DK Utrecht (Kanaleneiland-Noord),"€1,440 per month",22 m²,1 room,
House Zuilenstraat,3512 NB Utrecht (Lange Nieuwstraat en omgeving),"€2,070 per month",75 m²,2 rooms,Furnished
Flat Donkerstraat,"3511 KB Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,482 per month",78 m²,2 rooms,Furnished
Flat Tannhäuserdreef,3561 HJ Utrecht (Taag- en Rubicondreef en omgeving),"€2,000 per month",80 m²,4 rooms,
House Hoendiepstraat,3522 GD Utrecht (Rivierenwijk),"€2,750 per month",118 m²,5 rooms,Upholstered
House Eduard Künnekehof,3543 HT Utrecht (Terwijde-West),"€2,300 per month",119 m²,4 rooms,Furnished
Flat Westerdijk,3513 EW Utrecht (Pijlsweerd-Zuid),"€2,450 per month",90 m²,3 rooms,Upholstered
Flat Parijsboulevard,3541 CX Utrecht (Leidsche Rijn-Centrum),"€2,595 per month",89 m²,3 rooms,Furnished
Flat Stadionlaan,3583 RB Utrecht (Rubenslaan en omgeving),"€2,350 per month",100 m²,4 rooms,Upholstered
House Leo Fallplantsoen 42,3543 HH Utrecht (Terwijde-West),"€2,600 per month",173 m²,6 rooms,Furnished
Flat Adikade,"3531 WS Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€2,275 per month",113 m²,4 rooms,Upholstered
House Socrateslaan 8,3522 EG Utrecht (Rivierenwijk),"€2,200 per month",120 m²,6 rooms,Shell
Flat Nieuwegracht,3512 LS Utrecht (Nieuwegracht-Oost),"€2,700 per month",95 m²,3 rooms,Furnished
Flat Jan van Zutphenlaan,3555 RA Utrecht (Zuilen-Noord),"€2,450 per month",103 m²,3 rooms,Upholstered
Flat Dublinstraat,3541 CD Utrecht (Leidsche Rijn-Centrum),"€2,495 per month",94 m²,3 rooms,Furnished
Flat Huis te Zuylenlaan,3554 JE Utrecht (Schaakbuurt en omgeving),€875 per month,38 m²,2 rooms,Furnished
Flat Lange Nieuwstraat,3512 PD Utrecht (Lange Nieuwstraat en omgeving),"€2,142 per month",115 m²,3 rooms,Shell
Flat Kleine Slachtstraat,3512 BJ Utrecht (Breedstraat en Plompetorengracht en omgeving),"€2,250 per month",72 m²,3 rooms,
House Mendelssohnstraat,3533 XH Utrecht (Oog in Al),"€3,000 per month",143 m²,5 rooms,Furnished
Flat Aartsbisschop Romerostraat 483,3573 AR Utrecht (Voordorp en Voorveldsepolder),"€2,450 per month",95 m²,4 rooms,Upholstered
House Steenstraat,3572 SX Utrecht (Wittevrouwen),"€2,595 per month",110 m²,4 rooms,Furnished
House Lauwerecht,3515 GR Utrecht (Lauwerecht),"€3,150 per month",100 m²,4 rooms,Furnished
Flat Prinses Irenelaan 134,3554 HH Utrecht (Schaakbuurt en omgeving),"€2,500 per month",87 m²,3 rooms,Upholstered
Flat Jo Wüthrichlaan,3526 XX Utrecht (Transwijk-Zuid),"€1,950 per month",85 m²,3 rooms,Upholstered
Flat Eelderdiephof,3521 DL Utrecht (Dichterswijk),"€2,500 per month",95 m²,3 rooms,Upholstered
Flat Breedstraat,3512 TS Utrecht (Breedstraat en Plompetorengracht en omgeving),"€4,900 per month",160 m²,6 rooms,Furnished
Flat San Marinostraat,3541 DS Utrecht (Leidsche Rijn-Centrum),"€2,250 per month",90 m²,3 rooms,Furnished
Flat Vossegatselaan,3583 RS Utrecht (Schildersbuurt),"€2,350 per month",104 m²,4 rooms,
Flat Asselijnstraat,3521 TB Utrecht (Dichterswijk),"€2,450 per month",95 m²,3 rooms,
Flat Adriaen van Ostadelaan,3583 AJ Utrecht (Schildersbuurt),"€1,950 per month",70 m²,3 rooms,
